"rule_id","object","tags","specification","clause","test_number","description","test","message","user_friendly_message","user_friendly_fix"
"ISO_14289_1-7.2.26","SETOCI","structure,toc","ISO_14289_1","7.2",26,"TOCI element should be contained in TOC element","parentStandardType == 'TOC'","TOCI element contained in %1 instead of TOC element","A table of contents item is placed outside of the table of contents structure. Without proper nesting, screen readers can't identify this as part of the navigation menu, preventing users with disabilities from using it to jump to different sections of the document.","This is a structural error in how the PDF engine generates the table of contents and cannot be fixed directly in your Quarto source document. Ensure you're using Quarto's built-in table of contents feature by adding `toc: true` to your YAML front matter rather than manually creating navigation structures. If the error persists with the automatic TOC, it may indicate a bug in your PDF engine's accessibility implementation that requires updating the engine version."
"ISO_14289_1-7.2.27","SETOC","structure,toc","ISO_14289_1","7.2",27,"TOC element may contain only TOC, TOCI and Caption elements","kidsStandardTypes.split('&').filter(elem => elem != 'TOC' && elem != 'TOCI' && elem != 'Caption').length == 0 || kidsStandardTypes == ''","TOC element contains %1 element(s) instead of TOC, TOCI or Caption","This table of contents contains elements that don't belong in a properly structured navigation menu. Screen readers expect only TOC items, nested sections, or captions—anything else disrupts the navigation structure, making it difficult for users with disabilities to browse and jump to different parts of the document.","Use Quarto's built-in table of contents feature (`toc: true` in YAML) rather than manually creating navigation structures or custom TOC elements. Don't embed additional content like paragraphs, images, or other elements within the TOC structure—let Quarto automatically generate a clean, properly structured table of contents from your document headings."
"ISO_14289_1-7.2.28","SETOC","structure,toc","ISO_14289_1","7.2",28,"TOC element may contain a Caption element only as its first kid","kidsStandardTypes == '' || kidsStandardTypes.split('&').slice(1).findIndex(elem => elem == 'Caption') < 0","TOC element contains Caption as its %1 child instead of first one","The caption for this table of contents appears in the wrong position instead of at the beginning. This incorrect placement confuses screen readers about when to announce what the navigation menu represents, potentially interrupting the flow and making it harder for users with disabilities to understand the TOC's purpose.","Use Quarto's built-in table of contents feature (`toc: true` in YAML with optional `toc-title` to customize the heading) rather than manually structuring TOC elements. The automatic TOC generation should place any title or caption correctly—avoid creating custom TOC structures or modifying the TOC template in ways that move the caption from its proper first position."
"ISO_14289_1-7.2.29","CosLang","lang","ISO_14289_1","7.2",29,"If the Lang entry is present in the document's Catalog dictionary or in a structure element dictionary or property list, its value shall be a language identifier as described in ISO 32000-1:2008, 14.9.2. A language identifier shall be a Language-Tag as defined in RFC 3066, Tags for the Identification of Languages","/^[a-zA-Z]{1,8}(-[a-zA-Z0-9]{1,8})*$/.test(unicodeValue)","Value %1 of the Lang entry is not a Language-Tag","The language code in this document is incorrectly formatted and doesn't follow the international standard for language identification. Screen readers won't recognize this invalid code, so they can't apply the correct pronunciation rules, potentially making the content unintelligible to users with visual impairments.","Correct the `lang` field in your Quarto YAML front matter to use a valid language code following the BCP 47 standard (e.g., `lang: en` for English, `lang: es` for Spanish, `lang: fr-CA` for Canadian French). Avoid using full language names, non-standard codes, or incorrectly formatted tags—use only the standard two-letter or region-specific language codes."
"ISO_14289_1-7.2.30","SEMarkedContent","lang,alt-text","ISO_14289_1","7.2",30,"Natural language for text in ActualText attribute in Span Marked Content shall be determined","tag != 'Span' || ActualText == null || Lang != null || inheritedLang != null || gContainsCatalogLang == true","Natural language for text in ActualText attribute in Span Marked Content cannot be determined","The replacement text for a marked section of content doesn't specify what language it's written in. Without language information, screen readers won't know which pronunciation rules to use, potentially announcing this text incorrectly and confusing users with visual impairments.","Add a `lang` field to your Quarto YAML front matter to set the document's primary language (e.g., `lang: en`). This language setting should apply to all marked content including ActualText replacements. If you're using custom filters or extensions that generate marked content with ActualText, ensure those elements inherit or specify the document language for proper accessibility."
"ISO_14289_1-7.2.31","SEMarkedContent","lang,alt-text","ISO_14289_1","7.2",31,"Natural language for text in Alt attribute in Span Marked Content shall be determined","tag != 'Span' || Alt == null || Lang != null || inheritedLang != null || gContainsCatalogLang == true","Natural language for text in Alt attribute in Span Marked Content cannot be determined","The alternative text for a marked section of content doesn't specify what language it's written in. Without language information, screen readers may use incorrect pronunciation rules when reading this description aloud, making it difficult for users with visual impairments to understand the content being described.","Add a `lang` field to your Quarto YAML front matter to set the document's primary language (e.g., `lang: en`). This language setting should apply to all alternative text in marked content sections. If you're using custom filters or extensions that create marked content with Alt attributes, ensure those elements inherit or specify the document language for accessibility compliance."
"ISO_14289_1-7.2.32","SEMarkedContent","lang,alt-text","ISO_14289_1","7.2",32,"Natural language for text in E attribute in Span Marked Content shall be determined","tag != 'Span' || E == null || Lang != null || inheritedLang != null || gContainsCatalogLang == true","Natural language for text in E attribute in Span Marked Content cannot be determined","The expanded text for an abbreviation within a marked section doesn't specify what language it's written in. Without language information, screen readers may mispronounce the full form of the abbreviation, making it confusing for users with visual impairments to understand what the shortened term means.","Add a `lang` field to your Quarto YAML front matter to set the document's primary language (e.g., `lang: en`). This language setting should apply to all abbreviation expansions in marked content. If you're using custom filters or extensions that create abbreviations with expansion text, ensure those elements inherit or specify the document language for proper accessibility support."
"ISO_14289_1-7.2.33","XMPLangAlt","lang,metadata","ISO_14289_1","7.2",33,"Natural language for document metadata shall be determined","xDefault == false || gContainsCatalogLang == true","Natural language for document metadata cannot be determined","The document's metadata (like title, author, or description) doesn't specify what language it's written in. Without language information, screen readers may mispronounce this important document information, making it harder for users with visual impairments to identify and understand what the document is about.","Add a `lang` field to your Quarto YAML front matter to specify the document's language (e.g., `lang: en` for English). This setting ensures that metadata fields like title, author, and description are properly tagged with language information so screen readers can pronounce them correctly when announcing document properties to users."
"ISO_14289_1-7.2.34","SETextItem","lang,text","ISO_14289_1","7.2",34,"Natural language for text in page content shall be determined","gContainsCatalogLang == true || Lang != null","Natural language for text in page content cannot be determined","Some text in this document doesn't specify what language it's written in. Without language information, screen readers can't apply the correct pronunciation rules, potentially reading the text with incorrect sounds and accents that make it unintelligible to users with visual impairments.","Add a `lang` field to your Quarto YAML front matter to specify the document's primary language (e.g., `lang: en` for English). If your document contains text in multiple languages, wrap sections in different languages using spans or divs with the appropriate `lang` attribute (e.g., `[texto en español]{lang=""es""}` for inline text or fenced divs with `::: {lang=""fr""}` for blocks)."
"ISO_14289_1-7.2.36","SETHead","structure,table","ISO_14289_1","7.2",36,"THead element may contain only TR elements","kidsStandardTypes.split('&').filter(elem => elem != 'TR').length == 0 || kidsStandardTypes == ''","THead element contains %1 element(s) instead of TR","The table header section contains elements other than rows. Screen readers expect table headers to only contain header rows—anything else disrupts the table structure, preventing users with disabilities from properly understanding which rows contain the column headings.","Ensure your table header section contains only table rows with header cells, not other elements like paragraphs, captions, or nested structures. In Markdown tables, the header is automatically created from the first row before the separator line—make sure this row contains only cell content without embedded non-table elements or additional formatting that breaks the row structure."
"ISO_14289_1-7.2.37","SETBody","structure,table","ISO_14289_1","7.2",37,"TBody element may contain only TR elements","kidsStandardTypes.split('&').filter(elem => elem != 'TR').length == 0 || kidsStandardTypes == ''","TBody element contains %1 element(s) instead of TR","The table body section contains elements other than rows. Screen readers expect the table body to only contain data rows—anything else confuses the table structure, making it difficult for users with disabilities to navigate through the table's data correctly.","Ensure your table body contains only data rows with table cells, not other elements like paragraphs, images, or nested structures placed between rows. In Markdown tables, all rows after the header separator line should be properly formatted table rows—avoid embedding non-table content within the table structure or breaking rows with additional formatting that disrupts the table body."
"ISO_14289_1-7.2.38","SETFoot","structure,table","ISO_14289_1","7.2",38,"TFoot element may contain only TR elements","kidsStandardTypes.split('&').filter(elem => elem != 'TR').length == 0 || kidsStandardTypes == ''","TFoot element contains %1 element(s) instead of TR","The table footer section contains elements other than rows. Screen readers expect table footers to only contain footer rows (like totals or summaries)—anything else disrupts the table structure, preventing users with disabilities from properly understanding the table's concluding information.","If you're using HTML table syntax with a footer section, ensure it contains only table rows with cells, not other elements like paragraphs or nested structures. Standard Markdown tables don't support footers, so if you need footer rows, either include them as regular data rows at the end of the table body, or use HTML table syntax ensuring the footer section contains properly formatted table rows only."
"ISO_14289_1-7.2.39","SETable","structure,table","ISO_14289_1","7.2",39,"Table element may contain only one Caption element","kidsStandardTypes.split('&').filter(elem => elem == 'Caption').length < 2","Table element contains %1 Caption elements instead of one","This table has multiple captions when it should have only one. Having more than one caption confuses screen readers about what to announce as the table's title or description, making it unclear for users with disabilities to understand what the table represents.","Ensure your table has only one caption by using Quarto's caption syntax once per table (e.g., `: Caption text` on the line following the table). If you have multiple descriptive texts, combine them into a single caption or move additional explanatory text to a paragraph before or after the table rather than as separate captions."
"ISO_14289_1-7.2.40","SEL","structure,list","ISO_14289_1","7.2",40,"L element may contain a Caption element only as its first kid","kidsStandardTypes == '' || kidsStandardTypes.split('&').slice(1).findIndex(elem => elem == 'Caption') < 0","L element contains Caption as its %1 child instead of first one","This list's caption appears in the wrong position instead of at the beginning. This incorrect placement confuses screen readers about when to announce what the list represents, potentially interrupting the flow of list items and making it harder for users with disabilities to understand the list's purpose.","If you're adding a caption or title to your list, place it immediately before the list begins rather than after or between list items. Standard Markdown lists don't have built-in caption support, so use a heading or paragraph directly before the list to introduce it, ensuring nothing separates this introductory text from the first list item."
"ISO_14289_1-7.2.41","SETable","structure,table","ISO_14289_1","7.2",41,"Table columns shall have the same number of rows (taking into account row spans)","numberOfColumnWithWrongRowSpan == null","Table columns 1 and %1 span different number of rows","The columns in this table don't line up properly—some columns have more or fewer rows than others. This irregular structure confuses screen readers about the table's dimensions and cell positions, making it extremely difficult for users with disabilities to navigate and understand the table's data relationships.","Review your table to ensure every row has the same number of cells (columns). In Markdown tables, count the pipe separators (|) in each row to verify consistency—each row should have the same number of cells. If you're using rowspan or colspan attributes in HTML tables, verify that merged cells are correctly configured so that all columns span the same total number of rows when accounting for the merges."
"ISO_14289_1-7.2.42","SETable","structure,table","ISO_14289_1","7.2",42,"Table rows shall have the same number of columns (taking into account column spans)","numberOfRowWithWrongColumnSpan == null || wrongColumnSpan != null","Table rows 1 and %1 span different number of columns","The rows in this table don't have a consistent number of columns—some rows are wider or narrower than others. This irregular structure prevents screen readers from properly navigating the table and announcing correct column positions, making the data confusing and difficult to understand for users with disabilities.","Review your table to ensure every row has the same number of cells. In Markdown tables, verify that each row has the same number of pipe separators (|) and cells—add empty cells where needed to maintain consistent column count across all rows. If you're using HTML tables with colspan attributes, ensure that when accounting for merged cells, each row spans the same total number of columns."
"ISO_14289_1-7.2.43","SETable","structure,table","ISO_14289_1","7.2",43,"Table rows shall have the same number of columns (taking into account column spans)","numberOfRowWithWrongColumnSpan == null || wrongColumnSpan == null","Table rows 1 and %1 span different number of columns (%2 and %3 respectively)","The rows in this table have inconsistent widths—one row has a different number of columns than another. This irregular structure prevents screen readers from properly mapping the table grid and announcing accurate cell positions, making it confusing for users with disabilities to understand how the data is organized.","Review your table to ensure all rows have exactly the same number of columns. In Markdown tables, count the cells in each row (separated by pipes |) and add or remove cells to make every row consistent. If using HTML tables with colspan attributes for merged cells, verify that the total column span for each row equals the same number when merged cells are accounted for."
"ISO_14289_1-7.3.1","SEFigure","alt-text,structure,figure","ISO_14289_1","7.3",1,"Figure tags shall include an alternative representation or replacement text that represents the contents marked with the Figure tag as noted in ISO 32000-1:2008, 14.7.2, Table 323","(Alt != null && Alt != '') || ActualText != null","Figure structure element neither has an alternate description nor a replacement text","This image or figure is missing a text description that explains what it shows. Without alternative text, screen readers can only announce that an image is present, leaving users with visual impairments completely unaware of the visual information, data, or context the image conveys.","Add descriptive alt text to all images in your Quarto document using the standard Markdown syntax: `![Alt text description](image.png)`. Replace ""Alt text description"" with a clear, concise description of what the image shows or conveys. For complex figures like charts or diagrams, provide detailed descriptions that explain the key information the visual represents."
"ISO_14289_1-7.4.2.1","SEHn","structure,heading","ISO_14289_1","7.4.2",1,"For documents that are not strongly structured, as described in ISO 32000-1:2008, 14.8.4.3.5, heading tags shall be used as follows: (*) If any heading tags are used, H1 shall be the first. (*) A document may use more than one instance of any specific tag level. For example, a tag level may be repeated if document content requires it. (*) If document semantics require a descending sequence of headers, such a sequence shall proceed in strict numerical order and shall not skip an intervening heading level. (*) A document may increment its heading sequence without restarting at H1 if document semantics require it","hasCorrectNestingLevel == true","Heading level %1 is skipped in a descending sequence of header levels","This document skips a heading level (for example, jumping from Heading 1 directly to Heading 3). Screen readers use heading levels to help users understand the document's hierarchy and navigate between sections—skipping levels breaks this logical structure, making it confusing for users with disabilities to understand how content is organized.","Review your document's heading structure and ensure you don't skip levels—use headings in sequential order (# for level 1, ## for level 2, ### for level 3, etc.). If you currently jump from # to ### without ##, add the missing intermediate level or adjust your heading hierarchy so levels descend one at a time without gaps."
"ISO_14289_1-7.4.4.1","PDStructElem","structure,heading","ISO_14289_1","7.4.4",1,"Each node in the tag tree shall contain at most one child H tag","kidsStandardTypes.split('&').filter(elem => elem == 'H').length <= 1","A node contains more than one H tag","A section of this document has multiple heading tags when it should have only one. This confuses screen readers about which text is the actual heading, making it difficult for users with disabilities to navigate the document structure or understand the section's organization.","Review your document for sections with multiple consecutive headings and combine them into a single heading or separate them with content. Avoid placing two heading lines back-to-back without any paragraph or other content between them—each section should have one clear heading followed by its content before the next heading begins."
"ISO_14289_1-7.4.4.2","SEH","structure,heading","ISO_14289_1","7.4.4",2,"All documents shall be either strongly or weakly structured, but not both","usesHn == false","Document uses both H and H# tags","This document mixes two different heading systems (generic H tags and numbered H1-H6 tags) when it should use only one approach. This inconsistent structure confuses screen readers about the document's hierarchy, making it difficult for users with disabilities to understand and navigate the organization of content.","Use consistent Markdown heading syntax throughout your document—always use numbered heading levels (#, ##, ###, etc.) and never mix them with unnumbered or generic heading styles. Review your document for any headings created using custom formatting, divs with heading classes, or non-standard heading markup, and convert them all to standard Markdown heading syntax with appropriate levels."
"ISO_14289_1-7.4.4.3","SEHn","structure,heading","ISO_14289_1","7.4.4",3,"All documents shall be either strongly or weakly structured, but not both","usesH == false","Document uses both H and H# tags","This document mixes two different heading systems (numbered H1-H6 tags and generic H tags) when it should use only one approach. This inconsistent structure confuses screen readers about the document's hierarchy, making it difficult for users with disabilities to understand and navigate the organization of content.","Use consistent Markdown heading syntax throughout your document—always use numbered heading levels (#, ##, ###, etc.) and avoid mixing them with unnumbered or generic heading styles. Review your document for any headings created using custom formatting, divs with heading classes, or HTML heading tags without proper levels, and convert them all to standard Markdown heading syntax with appropriate numbered levels."
"ISO_14289_1-7.5.1","SETD","structure,table","ISO_14289_1","7.5",1,"If the table's structure is not determinable via Headers and IDs, then structure elements of type TH shall have a Scope attribute","hasConnectedHeader != false || unknownHeaders != ''","TD does not contain Headers attribute, and Headers for this table cell cannot be determined algorithmically","This table cell isn't properly connected to its column or row headers. Without this connection, screen readers can't tell users with disabilities which headers apply to each data cell, making it impossible to understand what the numbers or information in the cell represent.","Ensure your table has a clear header row that properly identifies each column. In Markdown tables, the first row before the separator line (dashes) automatically becomes the header—verify this header row clearly labels each column. For complex tables with headers in multiple positions or merged cells, you may need to use HTML table syntax with explicit scope or headers attributes to specify which headers apply to each data cell."
"ISO_14289_1-7.5.2","SETD","structure,table","ISO_14289_1","7.5",2,"If the table's structure is not determinable via Headers and IDs, then structure elements of type TH shall have a Scope attribute","hasConnectedHeader != false || unknownHeaders == ''","TD references undefined Header(s) %1, and Headers for this table cell cannot be determined algorithmically","This table cell references header cells that don't exist in the table. Without valid header connections, screen readers can't announce which row and column labels apply to the data, leaving users with disabilities unable to understand what the cell's information represents.","If you're using HTML table syntax with header ID references, verify that all referenced header IDs actually exist in your table's header cells. Remove any invalid header references and ensure each data cell only references headers that are present in the table. For simpler tables, use standard Markdown table syntax which automatically handles header associations without requiring manual ID references."
"ISO_14289_1-7.7.1","SEFormula","structure,alt-text","ISO_14289_1","7.7",1,"All mathematical expressions shall be enclosed within a Formula tag as detailed in ISO 32000-1:2008, 14.8.4.5 and shall have Alt or ActualText attributes","(Alt != null && Alt != '') || ActualText != null","Formula structure element neither has an alternate description nor a replacement text","This mathematical formula or equation is missing a text description explaining what it represents. Without alternative text, screen readers can't convey the mathematical meaning to users with visual impairments, leaving them completely unaware of important calculations, expressions, or scientific information in the document.","Add descriptive alt text to mathematical expressions by wrapping them in a span or div with an `aria-label` attribute that describes the formula in words (e.g., `[$$E=mc^2$$]{aria-label=""Energy equals mass times the speed of light squared""}`). For display equations, use figure environments with captions that explain what the equation represents, or add descriptive text in a paragraph immediately before or after the equation to provide context for screen reader users."
"ISO_14289_1-7.9.1","SENote","structure,note","ISO_14289_1","7.9",1,"Note tag shall have ID entry","noteID != null && noteID != ''","ID key of the Note tag is not present","This note or footnote is missing a unique identifier. Without an ID, screen readers can't properly link the note marker in the text to its corresponding explanation, making it difficult or impossible for users with disabilities to navigate between references and their associated notes.","Use Quarto's built-in footnote syntax (`^[footnote text]` for inline footnotes or `[^1]` with `[^1]: footnote text` for reference-style footnotes) rather than manually creating note structures. Quarto's automatic footnote handling should generate proper IDs and links—if you're using custom note elements or filters that create notes, ensure they generate unique identifiers for each note in the PDF output."
"ISO_14289_1-7.9.2","SENote","structure,note","ISO_14289_1","7.9",2,"Each Note tag shall have unique ID key","hasDuplicateNoteID == false","ID key %1 of the Note tag is non-unique","Multiple notes or footnotes share the same identifier when each should have a unique ID. This duplication confuses screen readers about which note corresponds to which reference marker, potentially directing users with disabilities to the wrong explanatory text when following footnote links.","Use Quarto's built-in footnote syntax consistently throughout your document—Quarto automatically generates unique IDs for each footnote. If using reference-style footnotes (`[^1]`, `[^2]`, etc.), ensure each footnote label is unique and not reused. If you're creating custom notes through filters or extensions, verify that your code generates unique identifiers for each note instance."
"ISO_14289_1-7.10.1","PDOCConfig","syntax","ISO_14289_1","7.10",1,"Each optional content configuration dictionary that forms the value of the D key, or that is an element in the array that forms the value of the Configs key in the OCProperties dictionary, shall contain the Name key","Name != null && Name.length() > 0","Missing or empty Name entry of the optional content configuration dictionary","A layer or optional content group in this PDF is missing a name. Without names, users with disabilities can't identify what different layers contain when using assistive technologies to control which content is visible, making it impossible to make informed choices about what to show or hide.","This issue relates to PDF layers or optional content groups, which are advanced PDF features not typically created by standard Quarto documents. If you're using custom extensions, filters, or templates that create layered content, ensure they assign meaningful names to each layer. For most Quarto users, avoid using features that create optional content groups, as standard document content should always be visible and accessible without layer controls."
"ISO_14289_1-7.10.2","PDOCConfig","syntax","ISO_14289_1","7.10",2,"The AS key shall not appear in any optional content configuration dictionary","AS == null","AS key is present in the optional content configuration dictionary","This PDF's layer configuration includes a prohibited setting that can cause layers to automatically change visibility. This unpredictable behavior can confuse users with disabilities who rely on consistent content presentation, potentially causing important information to appear or disappear unexpectedly while using assistive technologies.","This is an advanced PDF layer configuration issue that shouldn't occur in standard Quarto documents. If you're using custom extensions, filters, or templates that create optional content groups, ensure they don't include automatic state settings. For most users, avoid creating layered content entirely—all document content should be permanently visible and accessible rather than conditionally shown based on viewing state."
"ISO_14289_1-7.11.1","CosFileSpecification","syntax","ISO_14289_1","7.11",1,"The file specification dictionary for an embedded file shall contain the non-empty F and UF keys","containsEF == false || (F != null && F != '' && UF != null && UF != '')","The file specification dictionary for an embedded file does not contain either F or UF key or at least one of the keys is empty (F = %1, UF = %2)","An embedded file attachment is missing its filename information. Without a proper filename, screen readers can't announce what file is attached, leaving users with disabilities unable to identify the attachment before opening it, which creates confusion and potential security concerns.","This is an embedded file attachment error that occurs during PDF generation. Standard Quarto documents don't typically embed files within PDFs—if you need to reference external files, link to them rather than embedding them. If you're using custom code or extensions to embed attachments, ensure the embedding process includes proper filename metadata, or remove the embedded file feature and use external file references instead."
"ISO_14289_1-7.15.1","PDAcroForm","syntax","ISO_14289_1","7.15",1,"Dynamic XFA forms shall not be used","dynamicRender != 'required'","Dynamic XFA forms is present","This document contains a dynamic XFA form, which is not compatible with accessibility standards. These forms cannot be properly read by screen readers or other assistive technologies, making them completely inaccessible to users with disabilities who need to fill out or interact with the form.","Quarto does not natively support interactive PDF forms or XFA forms. If your document contains form elements, they were likely added through custom code or external processing. Remove any XFA form creation from your workflow—if you need interactive forms, create them as web-based HTML forms instead of PDF forms, or use a different accessible form format outside of the PDF generation process."
"ISO_14289_1-7.16.1","PDEncryption","syntax","ISO_14289_1","7.16",1,"An encrypted conforming file shall contain a P key in its encryption dictionary (ISO 32000-1:2008, 7.6.3.2, Table 21). The 10th bit position of the P key shall be true","P != null && (P & 512) == 512","The file is encrypted but does not contain a P entry in its encryption dictionary or the file is encrypted and does contain a P entry, but the 10th bit position of the P entry is false (P = %1, 10th bit = %2)","This encrypted PDF doesn't have the proper permission settings to allow assistive technologies to access the content. Without the correct accessibility permission, screen readers and other tools for users with disabilities will be blocked from reading the document, making it completely inaccessible.","If you're encrypting or password-protecting your PDF, ensure that accessibility permissions are enabled in your encryption settings. Quarto doesn't natively encrypt PDFs, so if encryption is being applied, it's happening through post-processing or external tools—configure those tools to explicitly allow content extraction for accessibility, or avoid encrypting the PDF to ensure it remains accessible to assistive technologies."
"ISO_14289_1-7.18.1.1","PDAnnot","annotation","ISO_14289_1","7.18.1",1,"An annotation, excluding annotations of subtype Widget, PrinterMark or Link, shall be nested within an Annot tag","Subtype == 'Widget' || Subtype == 'PrinterMark' || Subtype == 'Link' || isOutsideCropBox == true || (F & 2) == 2 || structParentStandardType == 'Annot'","%1 annotation is an Artifact or is nested within %2 tag (standard type = %3) instead of Annot","An annotation (like a comment or note) is incorrectly labeled as decorative or placed in the wrong structural container. This misplacement prevents screen readers from announcing the annotation to users with disabilities, causing them to miss important comments, highlights, or supplemental information in the document.","Standard Quarto documents don't typically include PDF annotations—if annotations are present, they may be added through custom extensions or post-processing. Remove any custom code that creates annotations marked as artifacts or improperly nested. If you need to include supplemental information, use standard document elements like callout blocks, margin notes created with divs, or footnotes rather than PDF annotation features."
"ISO_14289_1-7.18.1.2","PDAnnot","annotation,alt-text","ISO_14289_1","7.18.1",2,"An annotation (except Widget annotations or hidden annotations, or those having rectangle outside the crop-box) shall have either Contents key or an Alt entry in the enclosing structure element","Subtype == 'Widget' || isOutsideCropBox == true || (F & 2) == 2 || (Contents != null && Contents != '') || (Alt != null && Alt != '')","%1 annotation whose hidden flag is not set and whose rectangle is not outside the crop-box has neither Contents key nor an Alt entry in the enclosing structure element","A visible annotation is missing both its descriptive content and alternative text. Without either description, screen readers can only tell users with disabilities that an annotation exists but can't explain what it says or represents, making the annotation's information completely inaccessible.","Standard Quarto documents don't create PDF annotations by default—if annotations are present, they're likely from custom extensions or post-processing. If you're using custom code that generates annotations, ensure each annotation includes descriptive text content. For most users, avoid creating PDF annotations and instead use standard Quarto content elements like callout blocks, asides, or footnotes to add supplemental information in an accessible way."
"ISO_14289_1-7.18.1.3","PDWidgetAnnot","annotation,alt-text","ISO_14289_1","7.18.1",3,"A form field shall have a TU key present or all its Widget annotations shall have alternative descriptions (in the form of an Alt entry in the enclosing structure elements)","isOutsideCropBox == true || (F & 2) == 2 || (TU != null && TU != '') || (Alt != null && Alt != '')","A form field neither has TU key nor its Widget annotations have alternative descriptions (in the form of an Alt entry in the enclosing structure element)","This form field is missing a descriptive label that explains what information should be entered. Without a label or alternative description, screen readers can't tell users with disabilities what the field is for, making it impossible to fill out the form correctly.","Quarto does not natively support interactive PDF form fields. If form fields are present in your PDF, they were added through custom code or external processing—remove this functionality from your workflow. If you need interactive forms, create them as web-based HTML forms instead of PDF forms, which will be more accessible and functional for all users including those with disabilities."
"ISO_14289_1-7.18.2.1","PDTrapNetAnnot","annotation","ISO_14289_1","7.18.2",1,"Annotations of subtype TrapNet shall not be permitted","isOutsideCropBox == true || (F & 2) == 2","An annotation of subtype TrapNet exists","This PDF contains a TrapNet annotation, which is a specialized printing feature that's not allowed in accessible documents. These annotations can interfere with how assistive technologies interpret the document, potentially causing confusion or errors for users with disabilities.","TrapNet annotations are advanced printing features not typically created by Quarto. If present, they're likely added through professional prepress tools or custom PDF processing. Disable any trapping, color management, or advanced printing features in your PDF workflow. For standard Quarto documents, this should not occur—if it does, check for post-processing steps or custom templates that add printing-specific annotations and remove them."
"ISO_14289_1-7.18.3.1","PDPage","page","ISO_14289_1","7.18.3",1,"Every page on which there is an annotation shall contain in its page dictionary the key Tabs, and its value shall be S","containsAnnotations == false || Tabs == 'S'","A page with annotation(s) contains Tabs key with value %1 instead of S","A page containing annotations doesn't have the correct tab order setting. Without proper tab order, keyboard users and people using assistive technologies won't be able to navigate through annotations in a logical sequence, making it difficult to access comments, form fields, or other interactive elements on the page.","This is a page-level tab order setting that must be configured during PDF generation. Standard Quarto documents shouldn't contain annotations that require tab ordering—if annotations are present from custom code or extensions, this setting needs to be handled by the PDF engine. For most users, avoid creating PDF annotations and use standard document content instead, which will have proper structure without requiring special tab order configuration."
"ISO_14289_1-7.18.4.1","PDWidgetAnnot","annotation","ISO_14289_1","7.18.4",1,"A Widget annotation shall be nested within a Form tag per ISO 32000-1:2008, 14.8.4.5, Table 340","structParentStandardType == 'Form' || isOutsideCropBox == true || (F & 2) == 2","A Widget annotation is an Artifact or is nested within %1 tag (standard type = %2) instead of Form","A form field is incorrectly labeled as decorative or placed in the wrong structural container. This misplacement prevents screen readers from identifying it as an interactive form element, making it impossible for users with disabilities to find or fill out the field.","Quarto does not natively support interactive PDF form widgets. If form fields are present in your PDF, they were added through custom code or external processing that's creating improper structure. Remove any custom form field generation from your workflow—if you need interactive forms for users to complete, create web-based HTML forms instead of PDF forms for better accessibility and functionality."
"ISO_14289_1-7.18.4.2","SEForm","structure","ISO_14289_1","7.18.4",2,"If the Form element omits a Role attribute (Table 348), it shall have only one child: an object reference (14.7.4.3) identifying the widget annotation per ISO 32000-1:2008, 14.8.4.5, Table 340","roleAttribute != null || hasOneInteractiveChild == true","The Form element omits a Role attribute and doesn't have only one child identifying the widget annotation","A form element is missing information about what type of field it is and doesn't properly link to its corresponding widget. This incomplete structure confuses screen readers about how to interact with the field, potentially preventing users with disabilities from entering information or understanding the field's purpose.","Quarto does not natively create interactive PDF forms with Form elements and widgets. If form structures are present, they were added through custom code or extensions that are creating improper form element structure. Remove any custom form generation functionality from your workflow—if you need users to fill out forms, create web-based HTML forms instead of PDF forms for proper accessibility."
"ISO_14289_1-7.18.5.1","PDLinkAnnot","annotation","ISO_14289_1","7.18.5",1,"Links shall be tagged according to ISO 32000-1:2008, 14.8.4.4.2, Link Element","structParentStandardType == 'Link' || isOutsideCropBox == true || (F & 2) == 2","A Link annotation is an Artifact or is nested within %1 tag (standard type = %2) instead of Link","A hyperlink is incorrectly labeled as decorative or placed in the wrong structural container. This misplacement prevents screen readers from identifying it as a clickable link, making it impossible for users with disabilities to navigate to the linked content or even know that a link exists.","Ensure all links in your document use standard Markdown link syntax (`[link text](URL)`) rather than creating links through custom HTML, raw PDF commands, or other non-standard methods. Review any custom templates, filters, or extensions you're using to verify they don't place links in decorative sections or improper structural containers—links should always be part of the main content structure, not treated as artifacts."
"ISO_14289_1-7.18.5.2","PDLinkAnnot","structure,annotation,alt-text","ISO_14289_1","7.18.5",2,"Links shall contain an alternate description via their Contents key as described in ISO 32000-1:2008, 14.9.3","(Contents != null && Contents != '') || isOutsideCropBox == true || (F & 2) == 2","A link annotation does not include an alternate description in the Contents key","This hyperlink is missing descriptive text explaining where it leads. Without a description, screen readers can only announce that a link exists but can't tell users with disabilities what will happen when they click it, making navigation confusing and potentially frustrating.","Ensure all links use descriptive link text rather than generic phrases like ""click here"" or bare URLs. Use Markdown link syntax with meaningful descriptions: `[descriptive text explaining destination](URL)`. The link text itself should clearly indicate where the link goes or what action it performs, so screen reader users understand the link's purpose before activating it."
